,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
233,1,9.81,-0.01,0.45933,-1.465,3.589,4.869,11.0,0.038,0.0,19.434,18.95,17.726,17.114,16.962,0.459
234,1,9.83,-0.61,0.15638,-2.449,3.533,5.159,10.4,0.038,0.0,21.294,20.921,19.509,18.94,18.71,0.156
235,1,9.83,-0.51,0.40014,-1.512,3.609,4.934,10.1,0.038,0.0,18.65,18.108,17.04,16.432,16.289,0.4
236,1,9.83,-0.47,0.42238,-1.468,3.609,4.915,10.4,0.038,0.0,18.839,18.299,17.229,16.615,16.474,0.422
237,1,9.83,-0.39,0.79619,-0.361,3.733,4.579,10.9,0.038,0.0,16.572,16.006,15.355,14.961,14.907,0.796
238,1,9.83,-0.33,0.20158,-2.164,3.56,5.091,9.8,0.038,0.0,19.979,19.537,18.232,17.673,17.46,0.202
239,1,9.83,-0.31,0.25263,-1.973,3.57,5.041,9.1,0.037,0.0,18.803,18.33,17.07,16.509,16.316,0.253
240,1,9.83,-0.29,0.4057,-1.546,3.594,4.916,10.9,0.038,0.0,19.535,19.019,17.867,17.264,17.111,0.406
241,1,9.83,-0.25,0.2366,-2.043,3.563,5.054,10.8,0.038,0.0,20.678,20.23,18.929,18.368,18.162,0.237
242,1,9.83,-0.23,0.18267,-2.313,3.538,5.11,10.3,0.038,0.0,20.852,20.48,19.052,18.5,18.266,0.183
243,1,9.83,-0.21,0.824,-0.358,3.726,4.562,12.3,0.038,0.0,17.965,17.383,16.711,16.302,16.245,0.824
244,1,9.83,-0.19,0.09624,-3.135,3.445,5.283,8.3,0.036,0.0,20.906,20.871,18.863,18.317,18.066,0.096
245,1,9.83,-0.19,0.52754,-1.251,3.615,4.816,10.3,0.038,0.0,18.197,17.675,16.591,15.939,15.812,0.528
246,1,9.83,-0.17,0.33872,-1.756,3.577,4.979,11.0,0.038,0.0,20.16,19.68,18.427,17.857,17.679,0.339
247,1,9.83,-0.15,0.70249,-0.762,3.665,4.655,8.3,0.036,0.0,14.976,14.408,13.513,12.922,12.835,0.702
248,1,9.83,-0.07,0.47896,-1.404,3.597,4.856,9.4,0.038,0.0,17.68,17.179,16.008,15.376,15.235,0.479
